,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
733,Jonathan Ford,4,0,0,0,0,0,0,0,0,0,0,0,0.0,9,3,6,1,0,0,0
734,Chris Smith,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,1,0,0
735,Justin Eboigbe,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0
736,Kyle Peko,5,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,2,0,0
737,Elijah Garcia,5,3,0,0,0,0,0,0,0,1,0,0,0.0,14,5,9,2,1,0,0
738,Aidan Hutchinson,5,5,0,0,0,0,0,1,0,0,0,0,7.5,19,12,7,7,17,0,0
739,Ben Stille,6,0,0,0,0,0,1,0,0,1,0,0,1.0,4,1,3,1,1,0,0
740,Darius Robinson,6,0,0,0,0,0,0,0,0,0,0,0,1.0,10,4,6,1,1,0,0
741,Bruce Hector,6,0,0,0,0,0,0,0,0,0,0,0,1.0,10,4,6,3,1,0,0
742,Dominique Robinson,6,1,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,1,0,0
743,Bilal Nichols,6,5,0,0,0,0,0,0,0,0,0,0,0.0,10,6,4,1,1,0,0
744,Taki Taimani,7,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,0
745,Takkarist McKinley,7,0,0,0,0,0,0,0,0,0,0,0,0.5,9,4,5,1,2,0,0
746,Brenton Cox,7,0,0,0,0,0,0,1,0,0,0,0,4.0,12,8,4,5,7,0,0
747,Myles Adams,7,0,0,0,0,0,0,0,0,0,0,0,1.0,7,4,3,1,2,0,0
748,Kevin Givens,8,1,0,0,0,0,0,0,0,0,0,0,3.5,11,6,5,2,6,0,0
749,Demone Harris,9,0,0,0,0,0,1,0,0,0,0,0,0.0,11,4,7,1,1,0,0
750,Al-Quadin Muhammad,9,2,0,0,0,0,1,0,0,0,0,0,3.0,11,8,3,4,5,0,0
751,Zacch Pickens,9,3,0,0,0,0,0,0,0,0,0,0,1.0,19,8,11,1,2,0,0
752,Ta'Quon Graham,10,0,0,0,0,0,0,0,0,0,0,0,0.0,12,6,6,0,1,0,0
753,James Smith-Williams,10,5,0,0,0,0,0,0,0,0,0,0,1.0,24,12,12,7,2,0,0
754,Mekhi Wingo,11,0,0,0,0,0,0,0,0,0,0,0,0.0,9,1,8,0,1,0,0
755,Jacob Martin,11,0,0,0,0,0,1,0,0,0,0,0,3.0,15,9,6,3,6,0,0
756,Yetur Gross-Matos,11,0,0,0,0,0,0,0,0,0,0,0,4.0,19,14,5,6,7,0,0
757,Pat O'Connor,12,0,0,0,0,0,0,0,0,0,0,0,1.0,18,5,13,2,1,0,0
758,C.J. Brewer,12,0,0,0,0,0,2,0,0,0,0,0,2.0,12,7,5,3,3,0,0
759,Evan Anderson,12,1,0,0,0,0,0,1,0,1,0,0,1.0,24,13,11,2,2,0,0
760,D.J. Davidson,12,2,0,0,0,0,0,0,0,2,0,0,2.0,23,12,11,2,2,0,0
