Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
cameron malveaux,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
cameron sample,15.666666666666666,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,22.666666666666668,14.666666666666666,8.0,2.0,6.666666666666667,0.0,0.0
cameron thomas,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,6.0,5.0,4.0,1.0,0.0,0.0
cameron young,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,8.0,1.0,1.0,0.0,0.0
carl davis,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,5.666666666666667,0.0,0.6666666666666666,11.0,5.333333333333333,5.666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0
carl granderson,16.0,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,5.666666666666667,52.0,28.333333333333332,23.666666666666668,9.333333333333334,12.333333333333334,0.0,0.0
carl lawson,10.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,10.0,4.5,5.5,2.0,7.5,0.0,0.0
carl nassib,13.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,0.0,0.0,2.5,22.0,15.5,6.5,4.5,5.0,0.0,0.0
carlos davis,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0
carlos dunlap,17.0,2.0,0.0,0.0,0.0,0.0,7.5,1.0,0.0,0.0,0.0,0.0,6.25,37.0,24.5,12.5,7.0,13.0,0.0,0.0
carlos watkins,9.666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,15.0,7.0,8.0,1.0,0.3333333333333333,0.0,0.0
casey toohill,15.333333333333334,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,23.666666666666668,13.0,10.666666666666666,3.3333333333333335,4.666666666666667,0.0,0.0
cassius marsh,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0
cedric johnson,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,1.0,4.0,0.0,0.0
charles harris,9.5,3.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.25,13.5,10.0,3.5,2.0,4.5,0.0,0.0
charles omenihu,12.25,1.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.125,17.75,10.75,7.0,2.25,8.0,0.0,0.0
chase winovich,5.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,11.0,7.5,3.5,0.5,1.5,0.0,0.0
chase young,12.0,2.6666666666666665,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.333333333333333,20.333333333333332,13.666666666666666,6.666666666666667,5.0,12.333333333333334,0.0,0.0
chauncey golston,17.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,25.0,11.0,14.0,1.0,3.0,0.0,0.0
chauncey rivers,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
chris jones,16.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.5,30.0,20.0,10.0,13.0,29.0,0.0,8.0
chris smith,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5.0,2.0,3.0,0.5,2.0,0.0,0.0
chris williams,10.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.666666666666666,6.666666666666667,3.0,1.0,2.6666666666666665,0.0,0.0
chris wormley,6.666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,12.333333333333334,5.0,7.333333333333333,1.0,0.3333333333333333,0.0,0.0
christian barmore,12.0,2.75,0.0,0.0,0.0,0.0,2.25,0.25,0.0,0.0,0.0,0.0,3.375,34.75,20.0,14.75,4.75,8.25,0.0,0.0
christian covington,10.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,32.0,16.5,15.5,2.0,0.5,0.0,0.0
christian ringo,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,13.5,6.0,7.5,1.0,1.5,0.0,0.0
christian wilkins,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,11.0,6.0,2.0,6.0,0.0,0.0
christopher hinton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0
cj brewer,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.5,2.5,1.5,1.5,0.0,0.0
clelin ferrell,16.333333333333332,7.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,22.666666666666668,10.333333333333334,12.333333333333334,3.3333333333333335,9.0,0.0,0.0
colby wooden,15.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,18.5,9.5,9.0,1.5,2.0,0.0,0.0
cory durden,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
da'shawn hand,12.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,16.666666666666668,9.0,7.666666666666667,2.0,2.3333333333333335,0.0,0.0
dalvin tomlinson,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,12.0,16.0,4.0,12.0,0.0,0.0
damarcus mitchell,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0
damion square,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,3.0,6.0,0.0,3.0,0.0,0.0
daniel archibong,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
